100
0,63,2
0,65,8
1,2,2
1,8,2
1,48,2
3,47,8
4,34,4
5,33,4
5,48,8
5,92,4
5,96,8
6,25,4
6,57,4
6,67,8
6,68,1
6,83,2
6,94,2
7,70,8
7,87,4
8,84,2
9,14,4
9,58,2
9,60,4
10,38,4
10,53,2
10,88,8
11,43,4
12,90,4
13,47,4
13,70,8
14,42,2
15,53,4
16,62,1
16,81,8
17,18,4
18,51,4
18,76,8
19,20,8
20,30,2
20,67,1
21,23,4
21,65,4
21,78,2
21,88,2
22,32,8
22,45,4
22,52,4
23,25,4
23,33,8
23,37,2
23,52,4
23,61,8
23,91,1
24,48,2
25,27,2
25,44,4
25,51,2
25,58,2
25,98,4
26,83,4
28,47,4
29,62,2
31,39,8
31,70,2
31,80,8
33,40,8
33,77,2
34,71,2
34,96,2
35,76,1
36,44,1
37,72,4
40,75,2
41,49,1
41,58,4
42,59,4
43,50,2
43,69,4
43,95,2
44,74,4
45,56,8
46,57,2
51,69,4
51,99,4
52,90,8
54,58,1
55,77,4
57,64,1
57,85,8
58,62,4
58,66,4
58,70,4
61,89,8
69,93,2
73,92,4
78,86,2
79,82,2
79,88,4
86,97,2
