100
0,13,2
0,24,4
0,39,2
0,45,4
0,63,2
0,64,2
0,67,2
0,84,1
0,95,4
1,3,2
1,19,1
1,32,2
1,46,4
1,47,4
1,57,2
1,62,8
1,80,4
2,5,1
2,6,2
2,7,2
2,59,4
2,72,4
2,80,4
3,27,4
3,42,4
3,45,2
3,52,4
3,69,4
3,77,8
3,98,4
4,22,2
4,41,4
4,46,4
4,52,4
4,72,2
4,80,2
4,81,4
4,90,2
4,94,4
5,6,2
5,12,8
5,21,4
5,69,8
5,74,8
5,76,1
5,77,4
5,80,2
5,82,4
5,86,4
6,10,2
6,12,4
6,34,1
6,41,4
6,42,4
6,45,1
6,60,1
6,62,4
6,95,4
6,96,4
6,99,2
7,15,8
7,18,8
7,28,4
7,31,2
7,32,4
7,33,2
7,34,4
7,35,4
7,52,8
7,66,8
7,67,1
7,73,2
7,86,4
8,26,8
8,35,4
8,41,4
8,49,4
8,54,4
8,59,2
8,70,4
9,12,2
9,17,4
9,25,1
9,27,2
9,33,2
9,41,2
9,44,2
9,59,2
9,63,8
9,79,4
9,97,4
9,98,8
10,15,1
10,26,4
10,35,8
10,38,4
10,40,4
10,44,4
10,50,2
10,51,4
10,53,2
10,59,2
10,63,4
10,80,4
10,86,2
10,88,8
10,90,1
10,91,2
10,97,8
11,20,4
11,34,8
11,37,4
11,48,4
11,87,2
11,90,2
12,17,4
12,18,4
12,26,1
12,33,4
12,43,4
12,45,4
12,50,8
12,52,4
12,67,8
12,70,4
12,72,4
12,79,1
12,87,4
12,97,8
13,20,8
13,24,2
13,45,2
13,49,4
13,69,2
13,87,8
13,98,8
14,15,4
14,23,2
14,27,2
14,28,4
14,34,4
14,39,8
14,42,8
14,53,2
14,75,2
14,78,8
14,81,8
14,82,4
14,91,1
14,94,4
15,17,2
15,18,1
15,24,8
15,39,4
15,40,2
15,55,4
15,80,2
16,58,1
16,66,4
16,73,2
16,77,2
16,85,2
16,96,4
17,46,2
17,93,4
18,23,4
18,24,4
18,55,2
18,56,1
18,59,1
18,71,4
18,73,1
18,84,4
18,88,8
18,97,4
18,99,2
19,38,2
19,52,8
19,54,4
19,55,4
19,57,4
19,60,1
19,64,2
19,81,2
20,21,2
20,43,4
20,45,4
20,66,4
20,72,8
20,74,4
21,22,2
21,24,2
21,27,4
21,38,4
21,58,4
21,68,4
21,82,2
21,99,4
22,27,8
22,47,4
22,84,4
22,93,2
23,34,4
23,42,4
23,48,4
23,52,2
23,54,2
23,66,4
23,83,1
23,90,4
23,97,4
24,32,4
24,39,4
24,57,4
24,71,8
24,76,4
24,81,1
24,85,1
25,28,2
25,40,2
25,58,8
25,81,4
25,83,4
25,89,1
25,95,2
25,98,8
26,27,2
26,58,2
26,61,4
26,65,1
26,79,2
26,80,1
26,86,4
27,32,4
27,34,8
27,41,4
27,48,4
27,65,2
27,83,8
27,93,4
28,48,4
28,49,4
28,58,1
28,62,2
28,63,2
28,75,8
28,83,8
28,90,8
28,97,4
28,99,8
29,32,2
29,34,2
29,35,2
29,41,4
29,49,2
29,51,4
29,63,8
29,65,2
29,91,4
30,46,4
30,52,8
30,62,4
30,71,4
30,85,2
30,93,4
31,34,1
31,36,2
31,38,4
31,76,1
31,94,4
31,95,4
32,36,1
32,45,4
32,47,1
32,63,4
32,66,4
32,67,8
32,70,4
32,90,2
32,96,2
33,67,8
33,80,4
34,38,2
34,50,2
34,52,4
34,58,2
34,74,4
34,82,4
34,84,2
34,91,2
35,39,8
35,40,2
35,43,2
35,66,1
35,79,8
35,91,2
36,49,2
36,56,4
36,67,4
36,83,8
36,91,8
37,47,4
37,49,4
37,57,4
37,58,4
37,63,4
37,65,4
37,76,4
37,82,1
37,97,4
38,67,4
38,75,4
39,46,4
39,73,4
39,76,8
39,78,4
39,87,4
39,96,4
39,97,2
39,98,2
40,42,2
40,64,2
40,72,8
40,80,8
40,93,4
41,55,1
41,68,8
41,69,2
41,78,2
42,50,8
42,59,4
42,62,2
42,65,2
42,67,4
42,76,4
42,95,4
42,99,4
43,45,1
43,71,2
43,84,1
43,87,2
44,47,4
44,49,2
44,61,8
44,72,4
44,98,1
45,47,2
45,48,4
45,53,2
45,58,8
45,69,4
45,73,2
45,80,8
45,82,4
45,87,2
45,89,4
45,96,2
46,49,4
46,84,1
47,54,2
47,72,2
47,77,2
47,92,4
47,96,8
48,66,8
48,87,2
48,92,2
48,95,4
48,97,2
49,56,1
49,65,4
49,66,1
49,86,8
50,57,4
50,90,1
50,94,2
50,98,2
51,97,2
52,57,4
52,68,4
52,76,2
52,88,2
52,91,4
52,94,4
52,97,4
53,63,2
53,64,1
53,73,4
53,94,4
53,96,4
54,56,4
54,73,4
54,83,4
54,91,4
54,96,4
55,63,8
55,76,4
55,87,2
55,88,8
55,91,2
55,94,2
56,69,2
56,76,2
56,89,4
57,70,2
57,89,4
58,63,2
58,78,8
58,96,4
59,82,2
59,85,4
59,96,8
60,65,8
60,68,8
60,74,8
60,77,4
60,97,4
61,67,2
61,68,4
61,71,2
61,77,2
61,93,2
62,73,4
62,77,8
62,79,2
62,87,2
63,67,4
63,73,4
63,75,8
63,84,2
63,91,4
64,67,4
64,69,4
64,71,4
64,95,8
65,96,4
65,97,8
66,77,4
66,96,8
67,69,4
67,76,1
67,90,2
67,95,8
67,97,4
68,77,4
68,80,1
68,91,4
69,72,4
69,79,4
70,92,2
72,95,2
72,96,1
73,75,8
73,80,4
73,95,4
73,99,8
74,85,2
74,92,2
74,95,4
75,79,4
75,96,4
76,77,4
76,78,8
76,81,4
76,82,4
76,92,8
77,83,4
77,84,8
77,94,2
77,98,4
78,83,4
78,85,4
78,95,4
78,99,1
79,98,1
80,93,4
80,95,8
80,96,8
81,90,2
81,94,8
82,87,4
83,84,2
83,98,4
83,99,4
84,86,2
84,93,2
84,94,2
85,89,8
85,99,1
86,89,2
86,96,2
87,96,4
88,94,4
88,99,2
90,93,4
92,94,8
92,97,2
93,99,4
94,97,8
95,97,2
